danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.804,0.696,-7.47,0.0899,0.00877,0.000985,0.314,0.657,95.721,3B4q6KbHbGV51HO3GznBFF,170907
0.761,0.687,-6.185,0.131,0.00469,0.00532,0.245,0.316,95.089,0Jur3mZsQba3vqSpcmsOPm,173427
0.418,0.945,-5.406,0.118,0.0991,0.0123,0.23,0.696,181.174,1ru5R5iSawvuMELqKXxLjS,194760
0.857,0.468,-8.53,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,4uOKFydzAejjSFqYbv1XPt,183733
0.836,0.661,-6.502,0.338,0.0208,0.0,0.449,0.753,76.71,22AbXxQbMdVqEz7xJjhccG,213200
0.817,0.599,-9.249,0.0328,0.132,0.000311,0.0873,0.548,108.873,2KH16WveTQWT6KOG9Rg6e2,245640
0.524,0.939,-3.994,0.113,0.00022,0.0,0.623,0.661,150.184,1Vej0qeQ3ioKwpI6FUbRv1,184867
0.491,0.605,-10.098,0.0367,0.192,0.0,0.289,0.903,151.416,5KhtfxmVLso0pQfnZ49h36,183507
0.438,0.71,-12.412,0.0919,0.262,0.537,0.221,0.53,145.928,63OFKbMaZSDZ4wtesuuq6f,210373
0.379,0.76,-10.961,0.0378,0.00298,0.0296,0.104,0.491,99.436,73TxYZd0lBCVRrHawrAglA,274088
0.601,0.859,-5.263,0.0276,0.000359,0.00124,0.0871,0.446,125.145,1UBQ5GK8JaQjm5VbkBZY66,258027
0.438,0.805,-6.237,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,2aoo2jlRnM3A0NyLQqMN2f,240800
0.404,0.902,-3.88,0.0665,0.577,0.297,0.287,0.497,115.669,2kkvB3RNRzwjFdGhaUA0tz,423840
0.508,0.774,-5.973,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,20OFwXhEXf12DzwXmaV7fj,141600
0.527,0.891,-5.209,0.0759,0.0068,0.723,0.0618,0.458,108.57,20US4JIykUvnFpxMXp0lWv,171667
0.841,0.519,-5.986,0.0417,0.0205,3.81e-06,0.0846,0.587,99.047,0YJYfvfG4xwn0tAEItoRsE,264947
0.588,0.842,-4.304,0.0451,0.000948,1.51e-06,0.313,0.46,128.032,6h8Bu5maqvdspRv0LXoglo,199640
0.726,0.797,-5.698,0.0568,0.104,0.0,0.707,0.765,124.009,1o4b2LttVTns5CtIXtazAD,229093
0.597,0.837,-6.518,0.375,0.00427,0.00115,0.839,0.447,126.342,1xNcBAoUw8Hz6LqK2jt4Ff,171360
0.616,0.872,-4.69,0.0387,0.00673,0.0,0.453,0.563,128.023,5lSI1H86hAJktYCq2WpX9J,212468
0.701,0.915,-3.887,0.128,0.171,0.0,0.394,0.698,127.101,72yHcYTFilEkFY1cJigOaE,194453
0.594,0.841,-5.792,0.102,0.000238,2.22e-06,0.156,0.643,129.925,1RMRkCn07y2xtBip9DzwmC,227973
0.814,0.617,-9.735,0.317,0.0698,1.56e-05,0.0731,0.389,96.984,3D2L5xPKcnsYFjUAAFm4AS,174006
0.761,0.639,-7.577,0.0539,0.0359,0.0,0.0945,0.922,164.088,47TqCCnEliDp8NRDyIQoQq,219120
0.434,0.897,-4.918,0.0488,0.0103,0.0,0.612,0.684,148.726,2m1hi0nfMR9vdGC8UcrnwU,167067
0.875,0.862,-7.694,0.062,0.0116,0.000281,0.0658,0.915,118.398,742hY2twqAjwNYnKkQdilj,298691
0.706,0.888,-6.959,0.0654,0.119,9.64e-05,0.07,0.714,121.549,5Mmk2ii6laakqfeCT7OnVD,253733
0.889,0.454,-8.598,0.221,0.0141,0.000186,0.203,0.436,100.36,3QRM0qZB7oMYavveH0iEqx,250467
0.647,0.514,-10.05,0.0593,0.0655,0.0,0.398,0.386,79.975,1DIXPcTDzTj8ZMHt3PDt8p,240693
0.944,0.734,-6.883,0.277,0.0235,3.08e-06,0.128,0.722,101.489,0dhxE0JTayqMycMva3D3rM,233160
0.865,0.664,-6.822,0.108,0.00689,0.0,0.142,0.565,162.831,3wMUvT6eIw2L5cZFG1yH9j,287000
0.85,0.7,-6.49,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,3Gf5nttwcX9aaSQXRWidEZ,291782
0.956,0.745,-4.753,0.12,0.206,0.0,0.0615,0.912,107.075,04KTF78FFg8sOHC1BADqbY,228240
0.567,0.658,-6.257,0.208,0.302,1.36e-06,0.0792,0.876,96.835,4CBhCRM52t4TM7gw3uKQir,232573
0.747,0.937,-5.746,0.0453,0.0208,0.0,0.29,0.739,103.976,3bC1ahPIYt1btJzSSEyyrF,224653
0.504,0.824,-5.158,0.147,0.00319,2.35e-06,0.345,0.276,118.639,4Z1Gs74P3P3E2OOIPB9IvJ,225307
0.622,0.838,-1.582,0.0909,0.142,0.0,0.123,0.534,127.985,2f4aFQQtbJ5EciN4pCC63S,214230
0.544,0.87,-5.056,0.0342,1.26e-05,4.38e-05,0.131,0.152,127.972,6JywOjwrDxbak0V9ErJNTO,279853
0.897,0.611,-10.489,0.211,0.0291,0.186,0.0894,0.769,102.304,1oTHteQbmJw15rPxPVXUTv,208267
0.883,0.733,-9.153,0.128,0.161,0.00026,0.334,0.947,95.103,1HGyhNaRUFEDBiVLbvtbL6,245000
0.702,0.898,-6.003,0.0373,0.00854,0.000154,0.0917,0.731,112.845,29hBRadFZf9QTGRHZmxm65,169760
0.578,0.817,-6.542,0.0363,0.183,3.06e-06,0.285,0.726,141.621,5DiXcVovI0FcY2s0icWWUu,272293
0.263,0.784,-6.514,0.054,0.00192,0.0,0.15,0.385,114.671,6DzbmjkVZpz1mrDobAoJI8,214040
0.833,0.679,-4.496,0.0365,0.0834,0.00258,0.0769,0.975,109.916,2ouURa1AIXp3AvkS52Jry5,219867
0.481,0.94,-5.204,0.066,0.000891,0.0,0.0939,0.66,96.493,3mNecsYFb6LQg7822DPXCP,189333
0.561,0.593,-9.362,0.0264,0.00327,0.00144,0.0967,0.574,80.282,3Uvx1TO0Kg5HgGPk58lHXv,253413
0.521,0.673,-8.685,0.0284,0.00573,0.0,0.12,0.543,108.031,5vYA1mW9g2Coh1HUFUSmlb,225947
0.609,0.923,-3.908,0.0338,0.16,4.73e-06,0.295,0.961,115.996,2pX4FpOgwItRVPPUFdRcxA,294987
0.674,0.659,-8.049,0.0277,0.00156,0.00765,0.108,0.697,99.768,50JK22El2PTIzZBU2liLDI,243587
0.529,0.843,-7.511,0.0288,0.000816,0.00694,0.107,0.682,134.784,1ikE29PcIPHI1LsHblqnfG,234307
0.645,0.792,-7.34,0.036,0.0562,0.0121,0.119,0.666,90.565,7nnWIPM5hwE3DaUBkvOIpy,232453
0.389,0.476,-9.342,0.0316,0.619,5.09e-05,0.255,0.566,148.117,6txWz9UapYHVxEd7dDIHXT,217107
0.622,0.884,-6.715,0.0467,0.0403,0.371,0.282,0.561,109.722,2tn9zXqIZJbgL1swqwOktz,227973
0.462,0.801,-7.405,0.0418,0.000639,1.51e-06,0.34,0.442,153.01,1ZoHRnS5U4m7V5pgvFiK1N,236067
0.805,0.858,-3.067,0.105,0.194,7.89e-06,0.256,0.523,97.033,6HTJZ0TQJVMSKkUGzAOe2h,321649
0.575,0.831,-5.972,0.0356,0.00406,0.000449,0.111,0.377,127.991,5M9jOReAKGZ2AttVefFjTY,223140
0.854,0.766,-4.697,0.141,0.0242,0.0,0.0793,0.784,118.004,2S5LNtRVRPbXk01yRQ14sZ,224258
0.793,0.774,-3.667,0.0478,0.156,0.0,0.193,0.547,113.967,6Zo3wgDE076K2AuiGZF3CS,202307
0.753,0.931,-4.922,0.0652,0.00994,0.00696,0.234,0.767,113.029,1oHClQEgDmmbcEx12Kc5nZ,189693
0.712,0.922,-3.902,0.0411,0.00266,1.9e-06,0.268,0.976,125.984,2n3CaPGPLYnYAvTEwKCX8t,231625
0.677,0.811,-4.53,0.043,0.0012,0.00761,0.0896,0.185,128.004,69zxj1EFDfAouZu9JDmQld,216967
0.845,0.884,-4.506,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,4INDiWSKvqSKDEu7mh8HFz,257400
0.544,0.648,-8.079,0.29,0.0068,0.000919,0.503,0.956,142.026,5FR54UnizyI8pE5E9Zb0Dt,324800
0.894,0.791,-4.699,0.112,0.0183,0.0,0.0388,0.583,105.018,5rb9QrpfcKFHM1EUbSIurX,250373
0.885,0.534,-8.191,0.155,0.248,4.77e-05,0.0357,0.896,80.857,42HaJ7QlInzQ5vHKWb5Ixa,183227
0.753,0.484,-7.519,0.258,0.0149,0.0,0.135,0.597,79.668,2JKlf0IYz5oWsT3OCLyjpO,211560
0.845,0.764,-7.247,0.156,0.0883,2.8e-05,0.309,0.596,105.008,5WuLqgolua3xAHxOfBdxsA,192184
0.844,0.832,-6.337,0.245,0.0625,5.3e-06,0.1,0.749,104.94,36VpYFWbMit0rU8hsSkcf8,192787
0.77,0.858,-7.086,0.0492,0.0106,0.685,0.0298,0.76,109.883,2H5nsVLjDwWsxfyajm0lVS,234587
0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,08mG3Y1vljYA6bvDt4Wqkj,255493
